source_name,target_name,status,role,transform,source_dtype,source_shape,source_bytes,source_shard,source_offset,target_known,target_dtype,target_shape,target_bytes
layers.0.ffn.gate.weight,layers.0.ffn.gate.weight,mapped,resident,copy,BF16,256x4096,2097152,model-00002-of-00046.safetensors,9535144,True,torch.bfloat16,"[256, 4096]",2097152
layers.0.ffn_norm.weight,layers.0.ffn_norm.weight,mapped,resident,copy,BF16,4096,8192,model-00002-of-00046.safetensors,11632296,True,torch.float32,[4096],16384
layers.0.attn.wkv.scale,layers.0.attn.wkv.scale,mapped,resident,copy,F8_E8M0,4x32,128,model-00002-of-00046.safetensors,11640488,True,torch.float8_e8m0fnu,"[4, 32]",128
layers.0.attn.wo_a.scale,layers.0.attn.wo_a.scale,mapped,consumed_by_wo_a_convert,consume_scale_for_wo_a_bf16,F8_E8M0,64x32,2048,model-00002-of-00046.safetensors,11640616,False,,,
layers.0.attn.wo_b.scale,layers.0.attn.wo_b.scale,mapped,resident,copy,F8_E8M0,32x64,2048,model-00002-of-00046.safetensors,11642664,True,torch.float8_e8m0fnu,"[32, 64]",2048
layers.0.attn.wq_a.scale,layers.0.attn.wq_a.scale,mapped,resident,copy,F8_E8M0,8x32,256,model-00002-of-00046.safetensors,11644712,True,torch.float8_e8m0fnu,"[8, 32]",256
layers.0.attn.wq_b.scale,layers.0.attn.wq_b.scale,mapped,resident,copy,F8_E8M0,256x8,2048,model-00002-of-00046.safetensors,11644968,True,torch.float8_e8m0fnu,"[256, 8]",2048
layers.0.ffn.experts.0.w1.scale,layers.0.ffn.experts.0.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,11647016,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.0.w2.scale,layers.0.ffn.experts.0.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,11909160,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.0.w3.scale,layers.0.ffn.experts.0.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,12171304,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.1.w1.scale,layers.0.ffn.experts.1.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,12433448,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.1.w2.scale,layers.0.ffn.experts.1.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,12695592,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.1.w3.scale,layers.0.ffn.experts.1.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,12957736,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.10.w1.scale,layers.0.ffn.experts.10.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,13219880,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.10.w2.scale,layers.0.ffn.experts.10.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,13482024,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.10.w3.scale,layers.0.ffn.experts.10.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,13744168,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.100.w1.scale,layers.0.ffn.experts.100.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,14006312,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.100.w2.scale,layers.0.ffn.experts.100.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,14268456,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.100.w3.scale,layers.0.ffn.experts.100.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,14530600,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.101.w1.scale,layers.0.ffn.experts.101.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,14792744,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.101.w2.scale,layers.0.ffn.experts.101.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,15054888,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.101.w3.scale,layers.0.ffn.experts.101.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,15317032,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.102.w1.scale,layers.0.ffn.experts.102.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,15579176,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.102.w2.scale,layers.0.ffn.experts.102.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,15841320,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.102.w3.scale,layers.0.ffn.experts.102.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,16103464,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.103.w1.scale,layers.0.ffn.experts.103.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,16365608,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.103.w2.scale,layers.0.ffn.experts.103.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,16627752,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.103.w3.scale,layers.0.ffn.experts.103.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,16889896,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.104.w1.scale,layers.0.ffn.experts.104.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,17152040,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.104.w2.scale,layers.0.ffn.experts.104.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,17414184,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.104.w3.scale,layers.0.ffn.experts.104.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,17676328,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.105.w1.scale,layers.0.ffn.experts.105.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,17938472,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.105.w2.scale,layers.0.ffn.experts.105.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,18200616,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.105.w3.scale,layers.0.ffn.experts.105.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,18462760,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.106.w1.scale,layers.0.ffn.experts.106.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,18724904,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.106.w2.scale,layers.0.ffn.experts.106.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,18987048,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.106.w3.scale,layers.0.ffn.experts.106.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,19249192,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.107.w1.scale,layers.0.ffn.experts.107.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,19511336,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.107.w2.scale,layers.0.ffn.experts.107.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,19773480,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.107.w3.scale,layers.0.ffn.experts.107.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,20035624,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.108.w1.scale,layers.0.ffn.experts.108.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,20297768,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.108.w2.scale,layers.0.ffn.experts.108.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,20559912,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.108.w3.scale,layers.0.ffn.experts.108.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,20822056,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.109.w1.scale,layers.0.ffn.experts.109.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,21084200,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.109.w2.scale,layers.0.ffn.experts.109.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,21346344,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.109.w3.scale,layers.0.ffn.experts.109.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,21608488,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.11.w1.scale,layers.0.ffn.experts.11.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,21870632,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.11.w2.scale,layers.0.ffn.experts.11.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,22132776,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.11.w3.scale,layers.0.ffn.experts.11.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,22394920,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.110.w1.scale,layers.0.ffn.experts.110.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,22657064,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.110.w2.scale,layers.0.ffn.experts.110.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,22919208,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.110.w3.scale,layers.0.ffn.experts.110.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,23181352,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.111.w1.scale,layers.0.ffn.experts.111.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,23443496,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.111.w2.scale,layers.0.ffn.experts.111.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,23705640,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.111.w3.scale,layers.0.ffn.experts.111.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,23967784,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.112.w1.scale,layers.0.ffn.experts.112.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,24229928,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.112.w2.scale,layers.0.ffn.experts.112.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,24492072,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.112.w3.scale,layers.0.ffn.experts.112.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,24754216,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.113.w1.scale,layers.0.ffn.experts.113.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,25016360,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.113.w2.scale,layers.0.ffn.experts.113.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,25278504,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.113.w3.scale,layers.0.ffn.experts.113.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,25540648,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.114.w1.scale,layers.0.ffn.experts.114.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,25802792,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.114.w2.scale,layers.0.ffn.experts.114.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,26064936,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.114.w3.scale,layers.0.ffn.experts.114.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,26327080,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.115.w1.scale,layers.0.ffn.experts.115.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,26589224,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.115.w2.scale,layers.0.ffn.experts.115.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,26851368,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.115.w3.scale,layers.0.ffn.experts.115.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,27113512,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.116.w1.scale,layers.0.ffn.experts.116.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,27375656,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.116.w2.scale,layers.0.ffn.experts.116.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,27637800,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.116.w3.scale,layers.0.ffn.experts.116.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,27899944,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.117.w1.scale,layers.0.ffn.experts.117.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,28162088,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.117.w2.scale,layers.0.ffn.experts.117.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,28424232,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.117.w3.scale,layers.0.ffn.experts.117.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,28686376,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.118.w1.scale,layers.0.ffn.experts.118.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,28948520,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.118.w2.scale,layers.0.ffn.experts.118.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,29210664,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.118.w3.scale,layers.0.ffn.experts.118.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,29472808,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.119.w1.scale,layers.0.ffn.experts.119.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,29734952,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.119.w2.scale,layers.0.ffn.experts.119.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,29997096,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.119.w3.scale,layers.0.ffn.experts.119.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,30259240,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.12.w1.scale,layers.0.ffn.experts.12.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,30521384,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.12.w2.scale,layers.0.ffn.experts.12.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,30783528,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.12.w3.scale,layers.0.ffn.experts.12.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,31045672,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.120.w1.scale,layers.0.ffn.experts.120.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,31307816,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.120.w2.scale,layers.0.ffn.experts.120.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,31569960,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.120.w3.scale,layers.0.ffn.experts.120.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,31832104,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.121.w1.scale,layers.0.ffn.experts.121.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,32094248,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.121.w2.scale,layers.0.ffn.experts.121.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,32356392,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.121.w3.scale,layers.0.ffn.experts.121.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,32618536,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.122.w1.scale,layers.0.ffn.experts.122.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,32880680,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.122.w2.scale,layers.0.ffn.experts.122.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,33142824,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.122.w3.scale,layers.0.ffn.experts.122.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,33404968,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.123.w1.scale,layers.0.ffn.experts.123.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,33667112,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.123.w2.scale,layers.0.ffn.experts.123.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,33929256,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.123.w3.scale,layers.0.ffn.experts.123.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,34191400,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.124.w1.scale,layers.0.ffn.experts.124.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,34453544,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.124.w2.scale,layers.0.ffn.experts.124.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,34715688,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.124.w3.scale,layers.0.ffn.experts.124.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,34977832,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.125.w1.scale,layers.0.ffn.experts.125.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,35239976,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.125.w2.scale,layers.0.ffn.experts.125.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,35502120,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.125.w3.scale,layers.0.ffn.experts.125.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,35764264,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.126.w1.scale,layers.0.ffn.experts.126.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,36026408,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.126.w2.scale,layers.0.ffn.experts.126.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,36288552,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.126.w3.scale,layers.0.ffn.experts.126.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,36550696,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.127.w1.scale,layers.0.ffn.experts.127.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,36812840,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.127.w2.scale,layers.0.ffn.experts.127.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,37074984,True,torch.float8_e8m0fnu,"[4096, 64]",262144
layers.0.ffn.experts.127.w3.scale,layers.0.ffn.experts.127.w3.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,37337128,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.128.w1.scale,layers.0.ffn.experts.128.w1.scale,mapped,lazy_routed_expert,copy,F8_E8M0,2048x128,262144,model-00002-of-00046.safetensors,37599272,True,torch.float8_e8m0fnu,"[2048, 128]",262144
layers.0.ffn.experts.128.w2.scale,layers.0.ffn.experts.128.w2.scale,mapped,lazy_routed_expert,copy,F8_E8M0,4096x64,262144,model-00002-of-00046.safetensors,37861416,True,torch.float8_e8m0fnu,"[4096, 64]",262144
